Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Authority,"Stage of procedure","Cases / Persons","Recognized decisions","Complementary protection","Rejected decisions","Otherwise closed","Total decisions"
2016,Togo,TGO,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2016,"Trinidad and Tobago",TTO,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,5,0,5,0,10
2016,"Trinidad and Tobago",TTO,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,35,5,40
2016,Tunisia,TUN,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,14,0,14
2016,Tunisia,TUN,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,5,0,26,5,36
2016,Türkiye,TUR,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,57,0,73,11,141
2016,Türkiye,TUR,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,22,14,176,28,240
2016,"United Arab Emirates",ARE,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,5,0,0,0,5
2016,Uganda,UGA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,43,0,50,5,98
2016,Uganda,UGA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,118,0,128,10,256
2016,"Unknown ",,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,78,0,0,0,78
2016,"Unknown ",,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,11,15,12,21,59
2016,Ukraine,UKR,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,13,0,34,5,52
2016,Ukraine,UKR,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,105,32,137
2016,"United States of America",USA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,5,0,24,23,52
2016,Uzbekistan,UZB,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,5,0,5,0,10
2016,Uzbekistan,UZB,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,10,0,12,0,22
2016,"Saint Vincent and the Grenadines",VCT,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,11,0,11
2016,"Venezuela (Bolivarian Republic of)",VEN,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2016,"Venezuela (Bolivarian Republic of)",VEN,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,5,0,5,0,10
2016,"Western Sahara",ESH,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,0,5,5
2016,Yemen,YEM,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,26,0,11,5,42
2016,Yemen,YEM,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,32,16,37,10,95
2016,Zambia,ZMB,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,5,0,5,0,10
2016,Zambia,ZMB,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,20,5,25
2016,Zimbabwe,ZWE,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,60,0,135,5,200
2016,Zimbabwe,ZWE,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,31,19,223,15,288
2017,Afghanistan,AFG,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,568,0,491,40,1099
2017,Afghanistan,AFG,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,512,178,919,400,2009
2017,Afghanistan,AFG,"United Kingdom of Great Britain and Northern Ireland",GBR,G,RA,P,0,0,5,5,10
2017,Albania,ALB,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,142,0,318,29,489
2017,Albania,ALB,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,30,64,706,278,1078
2017,Algeria,DZA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,22,0,58,0,80
2017,Algeria,DZA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,10,5,119,43,177
2017,Angola,AGO,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,25,0,25
2017,Angola,AGO,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,5,0,43,10,58
2017,Egypt,EGY,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,53,0,139,5,197
2017,Egypt,EGY,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,53,10,299,112,474
2017,Armenia,ARM,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,5,0,5,0,10
2017,Armenia,ARM,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,5,0,28,5,38
2017,Australia,AUS,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,0,5,5
2017,Azerbaijan,AZE,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,14,0,14
2017,Azerbaijan,AZE,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,5,0,33,0,38
2017,Bahrain,BHR,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,5,0,0,0,5
2017,Burundi,BDI,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,5,0,5,0,10
2017,Burundi,BDI,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,5,0,14,0,19
2017,Benin,BEN,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2017,Benin,BEN,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,5,0,5
2017,Bangladesh,BGD,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,188,0,865,33,1086
2017,Bangladesh,BGD,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,55,10,1557,281,1903
2017,"Burkina Faso",BFA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2017,"Burkina Faso",BFA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,5,0,5
2017,Belarus,BLR,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2017,Belarus,BLR,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,11,0,11
2017,"Bolivia (Plurinational State of)",BOL,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2017,"Bolivia (Plurinational State of)",BOL,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,5,0,5
2017,Botswana,BWA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,10,0,10
2017,Botswana,BWA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,15,0,15
2017,Brazil,BRA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2017,Brazil,BRA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,13,17,30
2017,Canada,CAN,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,0,11,11
2017,Canada,CAN,"United Kingdom of Great Britain and Northern Ireland",GBR,G,RA,P,0,0,0,5,5
2017,Chad,TCD,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2017,Chad,TCD,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,0,5,5
2017,China,CHN,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,30,0,270,13,313
2017,China,CHN,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,13,5,511,411,940
2017,Cameroon,CMR,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,39,0,73,0,112
2017,Cameroon,CMR,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,38,5,142,14,199
2017,Congo,COG,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,5,0,11,0,16
2017,Congo,COG,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,5,0,20,5,30
2017,"Dem. Rep. of the Congo",COD,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,51,0,75,5,131
2017,"Dem. Rep. of the Congo",COD,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,28,5,126,12,171
2017,Colombia,COL,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2017,Colombia,COL,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,13,0,13
2017,Cuba,CUB,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,5,0,5
2017,Czechia,CZE,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,5,0,5
2017,Djibouti,DJI,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,5,0,5
2017,Dominica,DMA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,5,0,0,0,5
2017,Eritrea,ERI,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,199,0,132,209,540
2017,Eritrea,ERI,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,1195,5,159,138,1497
2017,Eritrea,ERI,"United Kingdom of Great Britain and Northern Ireland",GBR,G,RA,P,0,0,5,0,5
2017,Ethiopia,ETH,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,76,0,96,5,177
2017,Ethiopia,ETH,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,155,10,135,30,330
2017,Gabon,GAB,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,5,0,5
2017,Gambia,GMB,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,22,0,59,5,86
2017,Gambia,GMB,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,13,10,98,12,133
2017,Palestinian,PSE,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,18,0,31,0,49
2017,Palestinian,PSE,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,20,0,54,21,95
2017,Georgia,GEO,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,5,0,15,0,20
2017,Georgia,GEO,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,40,21,61
2017,Ghana,GHA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,11,0,93,5,109
2017,Ghana,GHA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,10,17,199,41,267
2017,Guinea-Bissau,GNB,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2017,Guinea-Bissau,GNB,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,5,0,0,0,5
2017,Grenada,GRD,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,10,5,15
2017,Guatemala,GTM,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2017,Guatemala,GTM,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,P,0,0,5,0,5
2017,Guinea,GIN,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,5,0,12,0,17
